Date,Time,Exercise,# of Reps,Weight,Notes
5/1/2023,10:12,Flyes,10,115,
5/1/2023,10:12,Flyes,12,115,
5/1/2023,10:03,Biceps Curl,10,100,
5/1/2023,10:03,Biceps Curl,11,100,
5/1/2023,10:03,Biceps Curl,10,100,
5/1/2023,10:03,Biceps Curl,8,115,
5/1/2023,10:03,Biceps Curl,8,115,
5/1/2023,9:51,Leg Curl,12,115,
5/1/2023,9:51,Leg Curl,12,115,
5/1/2023,9:51,Leg Curl,12,115,
5/1/2023,9:51,Leg Curl,10,145,
5/1/2023,9:51,Leg Curl,12,145,
5/1/2023,9:32,Leg Extension,15,100,
5/1/2023,9:32,Leg Extension,20,100,
5/1/2023,9:32,Leg Extension,16,130,
5/1/2023,9:32,Leg Extension,16,130,
5/1/2023,9:32,Leg Extension,15,130,
5/1/2023,9:32,Leg Extension,12,160,
5/1/2023,9:32,Leg Extension,8,160,
5/1/2023,9:32,Leg Extension,12,160,
5/1/2023,9:32,Leg Extension,10,160,
5/1/2023,9:15,Seated Calf Raise,25,265,
5/1/2023,9:15,Seated Calf Raise,25,265,
5/1/2023,9:15,Seated Calf Raise,25,265,
5/1/2023,9:15,Seated Calf Raise,22,295,
5/1/2023,9:15,Seated Calf Raise,20,295,
5/1/2023,9:15,Seated Calf Raise,20,295,
5/1/2023,9:15,Seated Calf Raise,16,325,
5/1/2023,9:15,Seated Calf Raise,20,325,
5/1/2023,9:15,Seated Calf Raise,15,325,
4/29/2023,9:10,Flyes,12,100,
4/29/2023,9:10,Flyes,12,100,
4/29/2023,9:10,Flyes,10,100,
4/29/2023,9:10,Flyes,10,100,
4/29/2023,9:10,Flyes,8,100,
4/29/2023,9:10,Flyes,10,85,
4/29/2023,9:05,Seated Rows,15,120,
4/29/2023,9:05,Seated Rows,15,120,
4/29/2023,9:05,Seated Rows,14,140,
4/29/2023,9:05,Seated Rows,12,140,
4/29/2023,9:05,Seated Rows,10,160,
4/29/2023,9:05,Seated Rows,10,160,
4/29/2023,9:05,Seated Rows,8,180,
4/29/2023,8:36,Dips,12,150,
4/29/2023,8:36,Dips,12,150,
4/29/2023,8:36,Dips,12,165,
4/29/2023,8:36,Dips,12,165,
4/29/2023,8:36,Dips,10,180,
4/29/2023,8:36,Dips,10,180,
4/29/2023,8:36,Dips,8,195,
4/29/2023,8:36,Dips,8,195,
4/29/2023,8:25,Shoulder Shrug,20,70,
4/29/2023,8:25,Shoulder Shrug,20,70,
4/29/2023,8:25,Shoulder Shrug,15,90,
4/29/2023,8:25,Shoulder Shrug,15,90,
4/29/2023,8:25,Shoulder Shrug,12,110,
4/29/2023,8:25,Shoulder Shrug,12,110,
4/29/2023,8:25,Shoulder Shrug,10,130,
4/29/2023,8:25,Shoulder Shrug,12,130,
4/29/2023,8:13,Seated Calf Raise,25,250,
4/29/2023,8:13,Seated Calf Raise,25,250,
4/29/2023,8:13,Seated Calf Raise,22,250,
4/29/2023,8:13,Seated Calf Raise,21,280,
4/29/2023,8:13,Seated Calf Raise,20,280,
4/29/2023,8:13,Seated Calf Raise,20,280,
4/29/2023,8:13,Seated Calf Raise,18,310,
4/29/2023,8:13,Seated Calf Raise,16,310,
4/27/2023,9:09,Leg Curl,10,100,
4/27/2023,9:09,Leg Curl,12,100,
4/27/2023,9:09,Leg Curl,15,115,
4/27/2023,9:09,Leg Curl,15,130,
4/27/2023,9:09,Leg Curl,10,130,
4/27/2023,9:06,Leg Extension,15,100,
4/27/2023,9:06,Leg Extension,15,100,
4/27/2023,9:06,Leg Extension,20,115,
4/27/2023,9:06,Leg Extension,10,130,
4/27/2023,9:06,Leg Extension,10,145,
4/27/2023,9:06,Leg Extension,10,160,
4/27/2023,9:06,Leg Extension,10,175,
4/27/2023,9:06,Leg Extension,6,190,
4/27/2023,9:06,Leg Extension,8,145,
4/27/2023,8:32,Triceps Extension,38,42.5,
4/27/2023,8:32,Triceps Extension,12,50,
4/27/2023,8:32,Triceps Extension,12,50,
4/27/2023,8:32,Triceps Extension,14,57.5,
4/27/2023,8:32,Triceps Extension,12,57.5,
4/27/2023,8:32,Triceps Extension,10,65,
4/27/2023,8:32,Triceps Extension,10,65,
4/27/2023,8:32,Triceps Extension,6,65,
4/27/2023,8:32,Triceps Extension,12,50,
4/27/2023,8:14,Biceps Curl,12,100,
4/27/2023,8:14,Biceps Curl,12,100,
4/27/2023,8:14,Biceps Curl,8,115,
4/27/2023,8:14,Biceps Curl,6,115,
4/27/2023,8:14,Biceps Curl,7,100,
4/27/2023,8:14,Biceps Curl,12,100,
4/27/2023,8:14,Biceps Curl,8,100,
4/27/2023,8:14,Biceps Curl,8,100,
4/26/2023,16:03,Flyes,15,115,
4/26/2023,16:03,Flyes,15,115,
4/26/2023,16:03,Flyes,12,115,
4/26/2023,16:03,Flyes,10,115,
4/26/2023,16:03,Flyes,10,115,
4/26/2023,16:03,Flyes,10,115,
4/26/2023,15:51,Seated Rows,12,120,
4/26/2023,15:51,Seated Rows,12,120,
4/26/2023,15:51,Seated Rows,12,140,
4/26/2023,15:51,Seated Rows,12,140,
4/26/2023,15:51,Seated Rows,10,140,
4/26/2023,15:51,Seated Rows,8,140,
4/26/2023,15:32,Pulldown,12,120,
